"moderna"
"spikevax"
"pfizer"
"biontech"
"pfizer-biontech"
"comirnaty"
"astrazeneca"
"astra zeneca"
"vaxzevria"
"janssen"
"johnson & johnson"
"johnson&johnson"
"j&j"
"covid"
"covid19"
"covid-19"
"covid2019"
"covid-2019"
"sars-cov-2"
"coronavirus"
"vaccination"
"vaccinations"
"vaccine"
"vaccines"
"mandatory vaccines"
"vaccine mandate"
"vaccine hesistant"
"vaccine hesistancy"
"antivaccine"
"anti-vaccine"
"antivax"
"anti-vax"
"antivaxxer"
"anti-vaxxer"
"antivaxxers"
"anti-vaxxers"
"the jab"
"booster shot"
"third shot"
"vaccine passport"
"vaccine passports"
"mRNA vaccine"
"mRNA vaccines"
"vaccination rate"
"vaccination rates"
"vaccine efficacy"
